"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","Other count","Other percent","incomplete"
"Jan 02 (0.23)",0,0,2,3.23,0,0,0,0,0,0,0,0,0,0,0,0,60,96.77,
"Jan 09 (0.32)",0,0,1,0.88,3,2.63,0,0,1,0.88,1,0.88,0,0,0,0,108,94.74,
"Jan 16 (0.39)",10,7.81,5,3.91,8,6.25,0,0,4,3.13,4,3.13,0,0,0,0,97,75.78,
"Jan 23 (0.39)",7,5.93,5,4.24,1,0.85,0,0,1,0.85,3,2.54,0,0,0,0,101,85.59,
"Jan 30 (0.67)",23,11.79,17,8.72,6,3.08,0,0,0,0,3,1.54,0,0,0,0,146,74.87,
"Feb 06 (1.41)",47,14.03,36,10.75,29,8.66,0,0,5,1.49,3,0.9,0,0,0,0,215,64.18,
"Feb 13 (3.22)",122,16.85,98,13.54,57,7.87,0,0,6,0.83,7,0.97,0,0,0,0,434,59.94,
"Feb 20 (5.30)",174,16.88,145,14.06,80,7.76,1,0.1,9,0.87,8,0.78,2,0.19,0,0,612,59.36,
"Feb 27 (4.52)",200,20.51,170,17.44,118,12.1,0,0,4,0.41,14,1.44,0,0,0,0,469,48.1,
"Mar 06 (4.12)",191,23.01,181,21.81,126,15.18,0,0,3,0.36,12,1.45,0,0,0,0,317,38.19,
"Mar 13 (7.61)",250,16.2,258,16.72,159,10.3,1,0.06,1,0.06,16,1.04,0,0,0,0,858,55.61,
"Mar 20 (4.17)",221,26.76,142,17.19,201,24.33,3,0.36,6,0.73,11,1.33,1,0.12,1,0.12,240,29.06,
"Mar 27 (6.81)",386,25.68,285,18.96,437,29.08,19,1.26,4,0.27,18,1.2,5,0.33,0,0,349,23.22,
"Apr 03 (6.57)",325,25.83,222,17.65,431,34.26,16,1.27,10,0.79,6,0.48,4,0.32,0,0,244,19.4,
"Apr 10 (10.54)",457,25.12,271,14.9,665,36.56,46,2.53,8,0.44,7,0.38,4,0.22,0,0,361,19.85,
"Apr 17 (11.14)",399,26.39,218,14.42,567,37.5,54,3.57,6,0.4,12,0.79,8,0.53,0,0,248,16.4,
"Apr 24 (10.33)",233,23.9,128,13.13,401,41.13,28,2.87,8,0.82,3,0.31,2,0.21,3,0.31,169,17.33,
"May 01 (10.78)",140,18.49,92,12.15,330,43.59,43,5.68,2,0.26,2,0.26,2,0.26,15,1.98,131,17.31,
"May 08 (9.39)",60,13.07,46,10.02,223,48.58,31,6.75,1,0.22,0,0,5,1.09,19,4.14,74,16.12,
"May 15 (11.05)",47,12.5,52,13.83,151,40.16,20,5.32,3,0.8,2,0.53,0,0,11,2.93,90,23.94,910
"May 22 (10.12)",30,12.2,30,12.2,93,37.8,27,10.98,0,0,1,0.41,1,0.41,20,8.13,44,17.89,910
"May 29 (5.88)",9,9.38,6,6.25,38,39.58,9,9.38,0,0,0,0,0,0,8,8.33,26,27.08,910
